China,1409670000
India,1404910000
UnitedStates,335893238
Indonesia,281603800
Pakistan,241499431
Nigeria,223800000
Brazil,203080756
Bangladesh,169828911
Russia,146150789
Mexico,129713690
Japan,123850000
Philippines,114163719
Ethiopia,109499000
Egypt,105914499
DemocraticRepublicoftheCongo,105247000
Vietnam,100300000
Turkey,85372377
Iran,85000000
Germany,84673158
France,68468000
UnitedKingdom,67596281
Thailand,65975198
Tanzania,65070448
SouthAfrica,63015904
Italy,58971479
Myanmar,56712559
Colombia,52695952
Kenya,52428290
SouthKorea,51265238
Sudan,50448963
Spain,48797875
Argentina,47067441
Algeria,46700000
Uganda,45935046
Iraq,44414800
Canada,41012563
Poland,37582000
Morocco,37369652
Uzbekistan,36963262
Ukraine,36700000
Angola,35121734
Afghanistan,34262840
Peru,34038457
Malaysia,33980600
Mozambique,32419747
SaudiArabia,32175224
Yemen,31888698
Ghana,30832019
Madagascar,30811969
IvoryCoast,29389150
Nepal,29164578
Cameroon,28758503
Venezuela,28405543
Australia,27364621
Niger,26312034
NorthKorea,25950000
Syria,24672760
Taiwan,23409323
BurkinaFaso,23409015
Mali,22395489
SriLanka,22037000
Malawi,20270568
Kazakhstan,20159707
Chile,20086377
Zambia,19610769
Romania,19051562
Chad,18675547
Somalia,18143379
Senegal,18126390
Netherlands,17981933
Guatemala,17843132
Cambodia,17336307
Ecuador,16938986
Zimbabwe,15178979
SouthSudan,14746494
Rwanda,13798561
Guinea,13261638
Benin,12910087
Burundi,12837740
Bolivia,12006031
Tunisia,11850232
Belgium,11834323
PapuaNewGuinea,11781559
Haiti,11743017
Jordan,11516000
Cuba,11089511
CzechRepublic,10859532
DominicanRepublic,10760028
Portugal,10639726
Sweden,10553341
Greece,10413982
UnitedArabEmirates,10288946
Tajikistan,10277100
Azerbaijan,10151517
Israel,9921100
Honduras,9892632
Hungary,9584627
Austria,9179693
Belarus,9155978
Switzerland,8981565
SierraLeone,8494260
Togo,8095498
HongKong(China),7531800
Laos,7443000
Libya,7381023
Kyrgyzstan,7100000
Turkmenistan,7057841
ElSalvador,6884888
Nicaragua,6803886
Serbia,6605168
Bulgaria,6445481
RepublicoftheCongo,6142180
Paraguay,6109644
Denmark,5972420
Singapore,5917600
CentralAfricanRepublic,5633412
Finland,5588685
Norway,5571634
Lebanon,5490000
Palestine,5483450
Slovakia,5422620
NewZealand,5338500
CostaRica,5309625
Ireland,5281600
Liberia,5248621
Oman,5203674
Kuwait,4913271
Mauritania,4475683
Panama,4064780
Croatia,3855641
Eritrea,3748902
Georgia,3694600
Mongolia,3504741
Uruguay,3444263
BosniaandHerzegovina,3264873
PuertoRico(US),3205691
Armenia,3039700
Namibia,3022401
Lithuania,2892761
Qatar,2857822
Jamaica,2825544
Moldova,2423300
Gambia,2417471
Botswana,2410338
Gabon,2408586
Albania,2402113
Lesotho,2306000
Slovenia,2124709
Latvia,1860900
NorthMacedonia,1826247
Guinea-Bissau,1781308
Kosovo,1762220
Bahrain,1577059
EquatorialGuinea,1558160
Estonia,1374687
EastTimor,1373024
TrinidadandTobago,1367510
Mauritius,1260379
Eswatini,1235549
Djibouti,1001454
Cyprus,918100
Fiji,893468
Bhutan,777224
Guyana,772975
Comoros,758316
SolomonIslands,750325
Macau(China),687000
Luxembourg,672020
Montenegro,616695
Suriname,616500
[disputed–discuss]WesternSahara,587259
Malta,542051
Maldives,515132
CapeVerde,491233
Brunei,445400
Belize,410919
Bahamas,397360
Iceland,383726
NorthernCyprus,382836
Transnistria,360938
Vanuatu,321409
FrenchPolynesia(France),279890
NewCaledonia(France),268510
Barbados,267800
Abkhazia,244236
SãoToméandPríncipe,228319
Samoa,205557
SaintLucia,184100
Guam(US),153836
Curaçao(Netherlands),155826
Kiribati,120740
Seychelles,120581
Grenada,112579
SaintVincentandtheGrenadines,110872
Aruba(Netherlands),107151
Micronesia,105754
AntiguaandBarbuda,103603
Jersey(UK),103267
Tonga,100179
U.S.VirginIslands(US),87146
Andorra,86398
IsleofMan(UK),84530
CaymanIslands(UK),71105
Dominica,67408
Guernsey(UK),64769
Bermuda(UK),64055
Greenland(Denmark),56865
SouthOssetia,56520
FaroeIslands(Denmark),54815
SaintKittsandNevis,51320
AmericanSamoa(US),49710
TurksandCaicosIslands(UK),49309
NorthernMarianaIslands(US),47329
MarshallIslands,42418
SintMaarten(Netherlands),41349
Liechtenstein,40023
Monaco,38367
Gibraltar(UK),34003
SanMarino,33950
SaintMartin(France),32358
BritishVirginIslands(UK),31538
Åland(Finland),30714
Palau,16733
Anguilla(UK),15780
CookIslands,15040
Nauru,11680
WallisandFutuna(France),11620
Tuvalu,10679
SaintBarthélemy(France),10585
SaintPierreandMiquelon(France),6092
"SaintHelena,AscensionandTristandaCunha(UK)",5651
Montserrat(UK),4386
FalklandIslands(UK),3662
NorfolkIsland(Australia),2188
ChristmasIsland(Australia),1692
Niue(NewZealand),1681
Tokelau(NewZealand),1647
VaticanCity,764
Cocos(Keeling)Islands(Australia),593
PitcairnIslands(UK),40
